Draw,Update
0.00655144,6.911e-005
0.00658506,7.37796e-005
0.00656825,7.28457e-005
0.00655144,7.28457e-005
0.00655471,7.14448e-005
0.00654724,6.58413e-005
0.00655658,0.000383374
0.00654304,0.000367964
0.00656592,7.42466e-005
0.00654631,6.9577e-005
0.00654491,0.000418863
0.0065337,7.33127e-005
0.00654024,7.00439e-005
0.00654584,7.23787e-005
0.00654864,7.70483e-005
0.00654537,7.28457e-005
0.00667145,7.00439e-005
0.00660141,7.33127e-005
0.00655238,7.37796e-005
0.00653977,7.00439e-005
0.00653557,7.14448e-005
0.00657152,8.45197e-005
0.00654491,8.49866e-005
0.00654957,7.42466e-005
0.00654397,3.78237e-005
0.00655238,8.40527e-005
0.00654491,6.911e-005
0.00654304,8.40527e-005
0.00654771,3.73568e-005
0.00654024,7.05109e-005
0.00658039,7.23787e-005
0.00657012,7.00439e-005
0.00654771,4.01585e-005
0.0065818,7.14448e-005
0.00656545,7.05109e-005
0.00656078,7.05109e-005
0.00655098,7.37796e-005
0.00656312,7.05109e-005
0.00656078,7.09779e-005
0.00656358,7.14448e-005
0.00663736,3.96916e-005
0.00657619,7.05109e-005
0.00656265,7.23787e-005
0.00673823,0.000614052
0.00691194,5.37004e-005
0.00685683,8.63875e-005
0.00685917,0.000475365
0.00684703,8.73214e-005
0.00684329,0.00038851
0.00684236,0.000377303
0.00683676,8.77884e-005
0.00683349,8.68545e-005
0.00683956,0.000102264
0.00682181,9.57267e-005
0.00683302,8.91893e-005
0.00683162,0.000149894
0.00684002,8.26518e-005
0.0068573,8.0317e-005
0.00683769,8.87223e-005
0.00683862,9.80615e-005
0.00687271,9.80615e-005
0.00683956,9.52598e-005
0.00685964,9.01232e-005
0.00685216,8.96562e-005
0.00686431,9.2925e-005
0.00688392,9.75946e-005
0.00687084,9.61937e-005
0.00686244,9.38589e-005
0.0068531,8.82554e-005
0.00684516,8.17179e-005
0.0068489,0.00010133
0.00720332,8.0317e-005
0.00686057,0.00011207
0.00685824,5.37004e-005
0.00687925,9.38589e-005
0.00687458,9.1991e-005
0.00686477,8.54536e-005
0.00689326,5.60351e-005
0.00687084,5.27664e-005
0.00686104,8.73214e-005
0.00723881,9.47928e-005
0.00686664,0.000115339
0.00685917,9.85285e-005
0.0068573,9.33919e-005
0.00685216,8.54536e-005
0.00686244,9.85285e-005
0.00684983,9.85285e-005
0.0068545,9.89954e-005
0.00684002,9.33919e-005
0.00684983,9.47928e-005
0.00687925,9.85285e-005
0.00684423,0.000100396
0.00686337,0.000105066
0.00687084,8.35858e-005
0.00687178,9.47928e-005
0.00686571,8.73214e-005
0.00688392,8.68545e-005
0.00688812,5.51012e-005
0.00694602,7.93831e-005
0.00694976,8.45197e-005
0.006911,9.15241e-005
0.0068503,8.26518e-005
0.00687364,8.45197e-005
0.00686244,8.54536e-005
0.00686851,8.45197e-005
0.00686944,8.68545e-005
0.0069096,5.55682e-005
0.00689512,8.45197e-005
0.00705856,5.55682e-005
0.00687598,8.63875e-005
0.00688112,8.82554e-005
0.00688205,8.77884e-005
0.00689933,8.0317e-005
0.00686851,5.37004e-005
0.00687505,8.0317e-005
0.00688999,8.73214e-005
0.0068615,8.21849e-005
0.00686711,0.00242025
0.0078169,0.000185383
0.00803357,0.000223207
0.00811436,0.000231145
0.0081265,0.000238149
0.00811249,0.000235815
0.00814331,0.000193788
0.00812323,0.000244687
0.0081349,0.000229277
0.00813257,0.000243753
0.00812743,0.000236282
0.00812696,0.000242352
0.00812043,0.000227409
0.00811389,0.000235815
0.00811296,0.000242819
0.00811716,0.000229744
0.00812416,0.000249356
0.00836231,0.00020733
0.00816105,0.000230678
0.00814051,0.00023955
0.0081237,0.000370766
0.00811763,0.000234414
0.0081279,0.00024422
0.00814237,0.000230678
0.00815498,0.000229744
0.00811436,0.000253559
0.00814611,0.000245154
0.00814798,0.000245154
0.00812276,0.00023955
0.0081279,0.000230678
0.00811669,0.000324537
0.00812977,0.000232079
0.00812276,0.000245154
0.00833663,0.000237215
0.00811669,0.000240951
0.0081307,0.000195656
0.00813304,0.000254026
0.00817646,0.00024422
0.00815872,0.000222273
0.00815311,0.000233013
0.00815872,0.000230211
0.00822689,0.000241418
0.00815685,0.000237215
0.00814097,0.000237682
0.00814051,0.000227876
0.00812603,0.000232079
0.00812883,0.000243286
0.00813584,0.000238149
0.00865463,0.000246088
0.00815872,0.000233947
0.00817319,0.000195189
0.00815685,0.00023955
0.00816012,0.000236282
0.00817693,0.000247022
0.00832589,0.000235348
0.00821475,0.000229277
0.00819187,0.000246555
0.00818066,0.000232546
0.00816059,0.000226942
0.00815125,0.000229744
0.0082904,0.000234881
0.00816152,0.000255427
0.00815125,0.000229277
0.00817273,0.00024422
0.00815685,0.000237215
0.00815498,0.000199392
0.00842535,0.000254493
0.0081802,0.000237215
0.0081774,0.000239083
0.00819794,0.000234414
0.00829881,0.000243286
0.00817179,0.000246088
0.00815545,0.000231145
0.00816899,0.000361894
0.00817459,0.000229277
0.00820028,0.000229744
0.008183,0.000234881
0.00854489,0.0002657
0.00847625,0.000255427
0.00847065,0.000244687
0.0085024,0.000245621
0.00846831,0.000243286
0.0084982,0.000215268
0.00849213,0.000209665
0.00858178,0.000211533
0.00846224,0.000209198
0.00845991,0.000214801
0.00845337,0.000207797
0.0084557,0.000210599
0.00845664,0.00020733
0.00847485,0.000227876
0.00883347,0.000213401
0.00856964,0.000237215
0.00848839,0.000235815
0.00842675,0.000236748
0.0084529,0.000254026
0.00848512,0.000252158
0.00841788,0.000253559
0.00836231,0.00025963
0.00831702,0.000243286
0.00827919,0.0002657
0.00825164,0.000247956
0.00821802,0.000252625
0.00817179,0.000251691
0.00815265,0.000252158
0.00811436,0.000255894
0.00810082,0.000249356
0.00806486,0.000249823
0.0080275,0.000254493
0.00800602,0.000444546
0.00796026,0.000252158
0.00796306,0.000298387
0.00840994,0.000248889
0.00790516,0.00024422
0.00785379,0.00025029
0.00781877,0.000224141
0.00782437,0.000261497
0.00777628,0.000443145
0.00775573,0.000352554
0.00773472,0.000258696
0.00769689,0.00152182
0.00824464,0.000451083
0.00850614,0.000321735
0.00821755,0.000344149
0.0081914,0.000288114
0.00817319,0.000670554
0.00813724,0.00033481
0.00804385,0.00019659
0.00806346,0.00144711
0.00860653,0.000268035
0.00862521,0.000247022
0.00861447,0.000262431
0.0086014,0.000244687
0.00861587,0.000441277
0.00860466,0.000256828
0.008614,0.00168386
0.00917716,0.000321268
0.00917109,0.000320801
0.00918136,0.000318933
0.00920097,0.00033014
0.00920284,0.000330607
0.00918043,0.0005314
0.00917482,0.000333409
0.00915708,0.000327339
0.00917482,0.00160494
0.00976506,0.000388977
0.00977066,0.000399717
0.0097263,0.000389911
0.00973657,0.00038851
0.00971836,0.000592105
0.00972443,0.000366563
0.00976272,0.00380852
0.0125696,0.000437541
0.0127214,0.000438475
0.0127162,0.000432872
0.0127475,0.000432405
0.0127134,0.000705109
0.0126831,0.00044081
0.0126934,0.000442211
0.0127032,0.000441744
0.0126784,0.000439409
0.0126962,0.00175857
0.0132327,0.000500581
0.013208,0.000781223
0.0131897,0.000509453
0.0132042,0.000509453
0.0131855,0.00183235
0.0137127,0.000572959
0.0136987,0.000569691
0.0137132,0.000579497
0.0136665,0.0010698
0.0136081,0.000578096
0.0135334,0.000575294
